news_uid,team,date,score,score_norm,is_relevant,reason
c6ede18180f7,Galatasaray,2025-07-21,0,0.0,False,Routine quote from the current manager.
f7a7d8c67c4a,Besiktas,2025-07-23,0,0.0,False,"Routine quote from an opposing team's manager, no signal of a manager change."
9793c60825f3,Karagumruk,2025-07-26,0,0.0,False,New manager appointed at a different team — post-change article.
00c487d68118,Besiktas,2025-07-27,2,0.5,True,"Manager's future in doubt after poor result, signaling potential change."
7e5ca06edea7,Alanyaspor,2025-07-28,0,0.0,False,"Routine quote from manager, no indication of change."
d1aa4a3f81ef,Besiktas,2025-07-31,1,0.25,True,Manager fielding departure questions and rumors about his future.
d0f5fdd6547f,Besiktas,2025-07-31,2,0.5,True,Manager fielding explicit departure questions from media.
1af0983f4a32,Besiktas,2025-07-31,1,0.25,True,Manager fielding departure questions with a statement of intent to continue.
6d71679b51f5,Galatasaray,2025-07-31,0,0.0,False,Routine quote from current manager about transfers — no signal of change.
81f3794b48f8,Besiktas,2025-08-01,1,0.25,True,Manager fielding departure questions.
68640735365b,Besiktas,2025-08-01,3,0.75,True,"Named replacement candidates for the current manager, indicating a potential change."
c23013e6aaef,Besiktas,2025-08-02,3,0.75,True,"Article hints at an impending departure, likely the manager, at Besiktas."
d60fbf969f50,Besiktas,2025-08-03,3,0.75,True,Named replacement candidate mentioned for potentially outgoing manager.
5bdc566e525b,Besiktas,2025-08-03,2,0.5,True,"Manager given final chance after poor result, signaling potential change."
05bf8ba9aa10,Besiktas,2025-08-03,3,0.75,True,Named replacement candidates and timing suggest a potential manager change is imminent.
a5385a997f83,Besiktas,2025-08-03,2,0.5,True,Manager under pressure due to performance concerns ahead of an upcoming match.
584146a595af,Antalyaspor,2025-08-05,4,1.0,True,Confirmed firing of a staff member as part of a change in the technical team.
beabead3c07d,Besiktas,2025-08-05,0,0.0,False,Profile of a manager — likely post-change or routine article.
aa8ad6284edd,Besiktas,2025-08-06,0,0.0,False,"Routine quote from the manager, no signal of a change."
e0305774b809,Rizespor,2025-08-06,0,0.0,False,Routine quote from the manager about team performance.
7d0d326a15c0,Besiktas,2025-08-07,0,0.0,False,"Article is about a different team and league, not related to Besiktas manager change."
90828c4d5367,Besiktas,2025-08-07,2,0.5,True,Manager under pressure due to poor performance implications.
1cd1984bf172,Buyuksehyr,2025-08-07,0,0.0,False,Routine quote from the manager — no signal of change.
65fc57d1dc90,Fenerbahce,2025-08-07,1,0.25,True,Manager fielding departure questions — mild signal.
ed8975bf10d6,Fenerbahce,2025-08-07,0,0.0,False,"Routine quote about upcoming match, no signal of manager change."
c009bc11c453,Galatasaray,2025-08-07,0,0.0,False,"Article about transfer news, not related to manager change."
4e23f83841ff,Trabzonspor,2025-08-07,0,0.0,False,New manager already removed — post-change article.
58807ad9ec51,Antalyaspor,2025-08-08,4,1.0,True,Confirmed resignation of a manager-related figure within the team management.
3beafdf0b9cd,Besiktas,2025-08-10,3,0.75,True,Named replacement candidates signal a potential manager change is coming.
a4ec7e4c935f,Goztep,2025-08-10,2,0.5,True,"Manager admits team is underperforming, which may lead to criticism and potential change."
ee5abb2b3cc7,Eyupspor,2025-08-11,1,0.25,True,"Manager fielding departure questions or related news, but no strong indication of change."
5528f2ba7d28,Kayserispor,2025-08-11,0,0.0,False,Player transfer news — no signal of manager change.
92599184b6f1,Fenerbahce,2025-08-12,0,0.0,False,Routine match report with no indication of manager change.
971787acb307,Besiktas,2025-08-13,0,0.0,False,Routine quote from manager about team preparation — no signal of change.
b40af3cde4fa,Karagumruk,2025-08-13,0,0.0,False,"No indication of manager change, routine news about another team."
4a98659a1ba0,Buyuksehyr,2025-08-14,0,0.0,False,Routine quote from manager — no signal of change.
